sentence,label
設置当初は匂いのせいか？猫が素通りしてました。 消臭剤を振りかけてしばらくしたら遊んでくれるようになりました。 価格を考えると満足してます。,2
首回りが大きく、余裕があり使いやすいです！,2
段ボールを開梱する事が有りますが職場でもこれを使っています。いいと思います。,4
優れものです！ 我が家の毛だらけの布団やカーペットが綺麗になりました！,4
他の方のレビューにもありましたが、商品説明画像と違い、電源ボタンや音量調節ボタンのところが空いていませんでした。,1
ミニマリストに興味がありこちらの本も読んでみましたが、ミニマリストではなかったです… 主婦の方、片付けが苦手な方、断捨離初心者さん向けですね…ミニマリストに興味がある方は読まなくても良い本でした。,1
お値段が安いので仕方ないのですが、 子供のおもちゃみたいにちょっと着けるのは 恥ずかしい位です,1
歩くたびに揺れるのが嬉しくなります。透けることもなく夏のリゾート旅行に活躍しそうです。,4
ローラーひとつだけが届きました。ローラー受けなしでは使い物になりませんので、返品手続きをしました。,0
冷たい牛乳に溶かして飲んでます。味は比較的飲みやすいと思いますが、粉が溶けづらいのでシェイカーを使うといいと思います。,2
電波はたっているが、見せかけているだけで、使わない時と電波状態は、変わらない。Wi-Fiの状態と同じで、繋がらない所は、そのまま表示は、繋がっているのに。 設定は、簡単でした。,0
とても軽くて、持ち運びしやすく、座席に座りながらの使用にはちょうど良いです。,3
フッ素加工でIH対応でこの価格は安い！と思い購入したんですが・・・外側の緑色の塗装部分が落ちやすいみたいで・・・新居のキッチンに収納したら収納の底部分に緑色の塗料がはがれて付いてしまいました。,1
大容量とソーラーチャージに惹かれ購入。 数回、0からフル充電にして試しました。 2500mAhのスマホを3-4回充電で空になりました。 変換減少を踏まえても10000mAhいかないくらいです。 安価ですが非常に本体が重いためオススメしません。 ソーラーチャージは真夏日にチャージでもどのくらい充電したか 変化を確認できず。,1
ガラス枠の黒部分はシールです。ワイパーがフロントガラスと共に立体表現されており、別部品で取り付けるワイパーではありません。上から貼るシールをワイパー立体に密着させ、楊枝などでキッチリ貼ればワイパー化します。このワイパー表現含め、シール貼りをキッチリ懸命にすれば、値段相応のプリウスになると思います。シール素材は嫌いな自分ですが、綺麗に貼ると気にならないものです。塗装なしでちゃんと模型になってます。,3
この手の娯楽性の高い電装品はあまり期待しない方が吉なので、今回もドライブ時の気分転換程度に買ってみた。それほど高いものでのないので。パッケージを開けてみてジャラジャラして華奢な感じから、早くも耐久性に不安がよぎる。フットライトとしての使用を想定しているのでフロアマットに噛ませる形で四つ全てを運転席に装着。 案の定、配線が余り気味になるがフロアマットの下に無理やり押し込み隠す(笑) 日が暮れるのを待って早速点灯。点灯状態は問題無しだが他の方のレビュー通り、若干暗い。夜間の足元を照らすことは出来なくは無いが、実用性は私には低いと感じました。あくまで雰囲気を楽しむためのお洒落アイテムと割り切り、苦笑いしながら自分を納得させました。 折角愛車に取り付けたので暫くは使用したいと思います。,2
ありがとうございます。機会があったらまたお願いすると思います。,2
ネックパットとしての利用度はありますが、使用時の臭いが若干あり同乗者の評判が悪い,1
バランスボードは問題なく使えます。 空気入れは他の方のレビューの通りで、1回目の空気注入で壊れました。 こんなにすぐ壊れるような空気入れは、付属せずにその分を値引きした方がいいですね。 後に代わりの空気入れを買いました。,1
商品名には8000lm、説明には8000lm*2、詳細には4000lm*2と表記されており、どれが本当の情報なのか判らなかったので試しに購入してみたところ、残念なほうのスペックだった。せめて8000lm*2の表記は削除しておけ馬鹿野郎。 同じような商品が多数出回っているものの、明るさの表記については全くと言って良いほど統一性がなく、やれ左右合計のルーメン値であったり、やれHi/Loの合計をバルブ片側のルーメン値として表記したりと、詐欺まがいの説明が横行しているように見受けられる。,0
購入してよかった とてもシッカリしていて、見た目もいい レビューーを見て決めました,4
手触りがまるで合皮。この価格でこの手触り。ショックです。 中のサクラ色の皮革は手触り良いのに。,1
価格程度です。 コンパクトにたたむことができればと思います,2
